,Apps,Top10perc,Top25perc,PhD
Abilene Christian University,1660,23,52,70
Adelphi University,2186,16,29,29
Adrian College,1428,22,50,53
Agnes Scott College,417,60,89,92
Alaska Pacific University,193,16,44,76
Albertson College,587,38,62,67
Albertus Magnus College,353,17,45,90
Albion College,1899,37,68,89
Albright College,1038,30,63,79
Alderson-Broaddus College,582,21,44,40
Alfred University,1732,37,75,82
Allegheny College,2652,44,77,73
Allentown Coll. of St. Francis de Sales,1179,38,64,60
Alma College,1267,44,73,79
Alverno College,494,23,46,36
American International College,1420,9,22,78
Amherst College,4302,83,96,93
Anderson University,1216,19,40,48
Andrews University,1130,14,23,62
Angelo State University,3540,24,54,60
Antioch University,713,25,44,69
Appalachian State University,7313,20,63,83
Aquinas College,619,20,51,55
Arizona State University Main campus,12809,24,49,88
Arkansas College (Lyon College),708,46,74,79
Arkansas Tech University,1734,12,52,57
Assumption College,2135,23,59,93
Auburn University-Main Campus,7548,25,57,85
Augsburg College,662,12,30,65
Augustana College IL,1879,36,69,78
Augustana College,761,21,58,66
Austin College,948,42,74,81
Averett College,627,16,40,59
Baker University,602,21,47,58
Baldwin-Wallace College,1690,30,61,68
Barat College,261,15,36,57
Bard College,1910,50,85,98
Barnard College,2496,53,95,83
Barry University,990,18,45,76
Baylor University,6075,34,66,71
Beaver College,1163,23,56,78
Bellarmine College,807,39,63,74
Belmont Abbey College,632,17,36,78
Belmont University,1220,28,67,61
Beloit College,1320,26,54,87
Bemidji State University,1208,12,36,57
Benedictine College,632,14,24,64
Bennington College,519,25,53,35
Bentley College,3466,20,60,87
Berry College,1858,37,68,80
Bethany College,878,16,41,62
Bethel College KS,202,19,42,61
Bethel College,502,11,28,63
Bethune Cookman College,1646,12,30,48
Birmingham-Southern College,805,67,88,74
Blackburn College,500,25,55,76
Bloomsburg Univ. of Pennsylvania,6773,15,55,66
Bluefield College,377,15,30,61
Bluffton College,692,20,50,76
Boston University,20192,45,80,80
Bowdoin College,3356,76,100,93
Bowling Green State University,9251,14,45,81
Bradford College,443,5,36,57
Bradley University,3767,30,58,75
Brandeis University,4186,48,77,90
Brenau University,367,12,41,71
Brewton-Parker College,1436,10,26,62
Briar Cliff College,392,16,44,39
Bridgewater College,838,22,53,68
Brigham Young University at Provo,7365,48,82,76
Brown University,12586,87,95,99
Bryn Mawr College,1465,71,95,100
Bucknell University,6548,49,85,95
Buena Vista College,860,32,70,62
Butler University,2362,40,68,77
Cabrini College,599,8,28,59
Caldwell College,1011,17,42,87
California Lutheran University,563,23,52,72
California Polytechnic-San Luis,7811,47,73,72
California State University at Fresno,4540,5,60,90
Calvin College,1784,29,56,75
Campbell University,2087,20,54,77
Campbellsville College,848,25,55,62
Canisius College,2853,16,34,90
Capital University,1747,34,66,64
Capitol College,100,10,52,10
Carleton College,2694,75,93,81
Carnegie Mellon University,8728,60,89,86
Carroll College,1160,19,55,74
Carson-Newman College,1096,27,62,61
Carthage College,1616,20,43,74
Case Western Reserve University,3877,71,93,95
Castleton State College,1257,9,22,89
Catawba College,1083,13,34,75
Catholic University of America,1754,24,49,90
Cazenovia College,3847,9,35,22
Cedar Crest College,776,25,58,58
Cedarville College,1307,25,55,50
Centenary College,369,12,46,41
Centenary College of Louisiana,495,35,55,86
Center for Creative Studies,601,1,20,8
Central College,1283,31,65,76
Central Connecticut State University,4158,6,24,69
Central Missouri State University,4681,10,35,69
Central Washington University,2785,8,65,67
Central Wesleyan College,174,8,29,62
Centre College,1013,55,82,95
Chapman University,959,23,48,72
Chatham College,212,28,56,95
Chestnut Hill College,342,25,64,71
Christendom College,81,33,71,92
Christian Brothers University,880,16,42,81
Christopher Newport University,883,3,37,80
Claflin College,1196,21,47,69
Claremont McKenna College,1860,71,93,99
Clark University,2887,30,61,94
Clarke College,460,14,45,67
Clarkson University,2174,35,68,95
Clemson University,8065,37,65,82
Clinch Valley Coll. of  the Univ. of Virginia,689,15,30,67
Coe College,1006,29,60,73
Coker College,604,15,47,64
Colby College,2848,58,84,83
Colgate University,4856,46,75,95
College Misericordia,1432,29,58,56
College of Charleston,4772,22,55,73
College of Mount St. Joseph,798,14,41,46
College of Mount St. Vincent,946,23,46,75
College of Notre Dame,344,11,42,77
College of Notre Dame of Maryland,457,35,61,64
College of Saint Benedict,938,29,62,70
College of Saint Catherine,511,23,51,63
College of Saint Elizabeth,444,34,53,68
College of Saint Rose,983,23,57,66
College of Santa Fe,546,16,42,40
College of St. Joseph,141,12,21,53
College of St. Scholastica,672,29,60,54
College of the Holy Cross,2994,70,95,92
College of William and Mary,7117,68,88,89
College of Wooster,2100,29,65,84
Colorado College,3207,56,87,85
Colorado State University,9478,29,65,87
Columbia College MO,314,10,28,87
Columbia College,737,21,67,61
Columbia University,6756,78,96,97
Concordia College at St. Paul,281,13,29,69
Concordia Lutheran College,232,16,34,67
Concordia University CA,688,30,75,55
Concordia University,528,22,56,56
Connecticut College,3035,42,93,86
Converse College,440,35,70,63
Cornell College,1538,33,68,71
Creighton University,2967,30,60,85
Culver-Stockton College,1576,24,55,51
Cumberland College,995,26,47,42
D'Youville College,866,18,47,68
Dana College,504,10,36,46
Daniel Webster College,585,12,30,61
Dartmouth College,8587,87,99,95
Davidson College,2373,77,96,95
Defiance College,571,10,26,58
Delta State University,967,15,48,49
Denison University,2762,32,60,88
DePauw University,1994,50,80,78
Dickinson College,3014,31,68,87
Dickinson State University,434,10,30,50
Dillard University,1998,41,88,52
Doane College,793,20,47,67
Dominican College of Blauvelt,360,4,19,43
Dordt College,604,25,50,61
Dowling College,1011,9,33,77
Drake University,2799,34,65,88
Drew University,2153,56,84,93
Drury College,700,33,66,82
Duke University,13789,90,98,95
Earlham College,1358,35,63,90
East Carolina University,9274,14,44,74
East Tennessee State University,3330,15,36,73
East Texas Baptist University,379,10,36,62
Eastern College,458,16,42,60
Eastern Connecticut State University,2172,14,50,71
Eastern Illinois University,5597,12,38,62
Eastern Mennonite College,486,19,48,46
Eastern Nazarene College,516,17,40,58
Eckerd College,1422,33,65,82
Elizabethtown College,2417,36,70,65
Elmira College,1457,27,50,77
Elms College,245,23,46,71
Elon College,3624,11,39,70
Embry Riddle Aeronautical University,3151,14,40,37
Emory & Henry College,765,30,60,79
Emory University,8506,76,97,97
Emporia State University,1256,43,79,72
Erskine College,659,47,74,76
Eureka College,560,36,56,62
Evergreen State College,1801,14,50,75
Fairfield University,4784,30,66,86
Fayetteville State University,1455,1,16,75
Ferrum College,1339,12,36,53
Flagler College,1415,18,52,52
Florida Institute of Technology,1947,39,74,90
Florida International University,3306,42,89,81
Florida Southern College,1381,20,44,65
Florida State University,11651,50,90,80
Fontbonne College,291,16,49,45
Fordham University,4200,30,55,86
Fort Lewis College,3440,16,35,89
Francis Marion University,1801,13,38,76
Franciscan University of Steubenville,553,22,49,57
Franklin College,804,29,72,54
Franklin Pierce College,5187,3,14,50
Freed-Hardeman University,895,20,54,68
Fresno Pacific College,346,51,87,59
Furman University,2161,56,82,92
Gannon University,2464,24,57,47
Gardner Webb University,1110,18,36,65
Geneva College,668,19,39,67
George Fox College,809,27,52,53
George Mason University,5653,17,29,93
George Washington University,7875,38,71,92
Georgetown College,727,30,55,73
Georgetown University,11115,71,93,91
Georgia Institute of Technology,7837,89,99,92
Georgia State University,3793,9,24,87
Georgian Court College,348,12,52,56
Gettysburg College,3596,42,78,94
Goldey Beacom College,633,10,27,25
Gonzaga University,1886,31,67,78
Gordon College,674,25,54,73
Goshen College,440,26,51,51
Goucher College,1151,40,64,78
Grace College and Seminary,548,18,46,53
Graceland College,555,14,41,51
Grand Valley State University,5165,20,60,64
Green Mountain College,780,7,20,77
Greensboro College,608,10,31,64
Greenville College,510,20,46,57
Grinnell College,2039,56,91,88
Grove City College,2491,57,88,65
Guilford College,1202,18,44,78
Gustavus Adolphus College,1709,36,72,79
Gwynedd Mercy College,380,30,56,36
Hamilton College,3140,40,82,91
Hamline University,1006,34,73,89
Hampden - Sydney College,817,20,40,95
Hampton University,7178,25,63,60
Hanover College,1006,33,65,84
Hardin-Simmons University,467,16,40,75
Harding University,1721,35,75,71
Hartwick College,2083,22,49,75
Harvard University,13865,90,100,97
Harvey Mudd College,1377,95,100,100
Hastings College,817,22,52,57
Hendrix College,823,52,87,82
Hillsdale College,920,35,66,80
Hiram College,922,37,66,75
Hobart and William Smith Colleges,2688,25,53,99
Hofstra University,7428,25,63,81
Hollins College,602,26,58,78
Hood College,699,36,64,82
Hope College,1712,37,69,72
Houghton College,949,30,70,85
